Jour et mois ;Annee;Achery;Rennes;LA ROCHE SUR YON;DAX;PEYREHORADE;SAINT-MARTIN-DE-HINX;ANCENIS;NANTES-BOUGUEIS;MONTOIR/ST ZAIRE;NORT SUR ERDRE;DERVAL;LA CHAPELLE-SAINT-SAUVEUR;ANGERS;SAUMUR;CONDE SUR VIRE;SAINT-HILAIRE DU HARCOUET;MAYENNE;ARGENTRE;ETRONNIER AERODROME DE LAVAL;CHATEAU-GONTIER;LORIENT -QUEVEN
309;2000;150.0316;152.4346;154.4686;172.8996;170.8614;169.3948;159.8178;158.306;154.8784;153.571;152.4346;155.023;159.4472;164.4984;143.4744;148.453;147.61;151.6554;159.8178;153.5896;158.6406
409;2000;150.8873;153.3118;155.3473;173.8643;171.8172;170.3394;160.7314;159.235;155.8047;154.46;153.3118;155.914;160.3676;165.4427;144.2792;149.296;148.453;152.5257;160.7314;154.4683;159.5648
509;2000;151.743;154.189;156.226;174.829;172.773;171.284;161.645;160.164;156.731;155.349;154.189;156.805;161.288;166.387;145.084;150.139;149.296;153.396;161.645;155.347;160.489
609;2000;152.5987;155.0662;157.1047;175.7937;173.7288;172.2286;162.5586;161.093;157.6573;156.238;155.0662;157.696;162.2084;167.3313;145.8888;150.982;150.139;154.2663;162.5586;156.2257;161.4132
709;2000;153.4544;155.9434;157.9834;176.7584;174.6846;173.1732;163.4722;162.022;158.5836;157.127;155.9434;158.587;163.1288;168.2756;146.6936;151.825;150.982;155.1366;163.4722;157.1044;162.3374
809;2000;154.3101;156.8206;158.8621;177.7231;175.6404;174.1178;164.3858;162.951;159.5099;158.016;156.8206;159.478;164.0492;169.2199;147.4984;152.668;151.825;156.0069;164.3858;157.9831;163.2616
909;2000;155.1658;157.6978;159.7408;178.6878;176.5962;175.0624;165.2994;163.88;160.4362;158.905;157.6978;160.369;164.9696;170.1642;148.3032;153.511;152.668;156.8772;165.2994;158.8618;164.1858
1009;2000;156.0215;158.575;160.6195;179.6525;177.552;176.007;166.213;164.809;161.3625;159.794;158.575;161.26;165.89;171.1085;149.108;154.354;153.511;157.7475;166.213;159.7405;165.11
1109;2000;156.8772;159.4522;161.4982;180.6172;178.5078;176.9516;167.1266;165.738;162.2888;160.683;159.4522;162.151;166.8104;172.0528;149.9128;155.197;154.354;158.6178;167.1266;160.6192;166.0342
1209;2000;157.7329;160.3294;162.3769;181.5819;179.4636;177.8962;168.0402;166.667;163.2151;161.572;160.3294;163.042;167.7308;172.9971;150.7176;156.04;155.197;159.4881;168.0402;161.4979;166.9584
1309;2000;158.5886;161.2066;163.2556;182.5466;180.4194;178.8408;168.9538;167.596;164.1414;162.461;161.2066;163.933;168.6512;173.9414;151.5224;156.883;156.04;160.3584;168.9538;162.3766;167.8826
1409;2000;159.4443;162.0838;164.1343;183.5113;181.3752;179.7854;169.8674;168.525;165.0677;163.35;162.0838;164.824;169.5716;174.8857;152.3272;157.726;156.883;161.2287;169.8674;163.2553;168.8068
1509;2000;160.3;162.961;165.013;184.476;182.331;180.73;170.781;169.454;165.994;164.239;162.961;165.715;170.492;175.83;153.132;158.569;157.726;162.099;170.781;164.134;169.731
1609;2000;161.1557;163.8382;165.8917;185.4407;183.2868;181.6746;171.6946;170.383;166.9203;165.128;163.8382;166.606;171.4124;176.7743;153.9368;159.412;158.569;162.9693;171.6946;165.0127;170.6552
1709;2000;162.0114;164.7154;166.7704;186.4054;184.2426;182.6192;172.6082;171.312;167.8466;166.017;164.7154;167.497;172.3328;177.7186;154.7416;160.255;159.412;163.8396;172.6082;165.8914;171.5794
1809;2000;162.8671;165.5926;167.6491;187.3701;185.1984;183.5638;173.5218;172.241;168.7729;166.906;165.5926;168.388;173.2532;178.6629;155.5464;161.098;160.255;164.7099;173.5218;166.7701;172.5036
1909;2000;163.7228;166.4698;168.5278;188.3348;186.1542;184.5084;174.4354;173.17;169.6992;167.795;166.4698;169.279;174.1736;179.6072;156.3512;161.941;161.098;165.5802;174.4354;167.6488;173.4278
2009;2000;164.5785;167.347;169.4065;189.2995;187.11;185.453;175.349;174.099;170.6255;168.684;167.347;170.17;175.094;180.5515;157.156;162.784;161.941;166.4505;175.349;168.5275;174.352
2109;2000;165.4342;168.2242;170.2852;190.2642;188.0658;186.3976;176.2626;175.028;171.5518;169.573;168.2242;171.061;176.0144;181.4958;157.9608;163.627;162.784;167.3208;176.2626;169.4062;175.2762
2209;2000;166.2899;169.1014;171.1639;191.2289;189.0216;187.3422;177.1762;175.957;172.4781;170.462;169.1014;171.952;176.9348;182.4401;158.7656;164.47;163.627;168.1911;177.1762;170.2849;176.2004
2309;2000;167.1456;169.9786;172.0426;192.1936;189.9774;188.2868;178.0898;176.886;173.4044;171.351;169.9786;172.843;177.8552;183.3844;159.5704;165.313;164.47;169.0614;178.0898;171.1636;177.1246
2409;2000;168.0013;170.8558;172.9213;193.1583;190.9332;189.2314;179.0034;177.815;174.3307;172.24;170.8558;173.734;178.7756;184.3287;160.3752;166.156;165.313;169.9317;179.0034;172.0423;178.0488
2509;2000;168.857;171.733;173.8;194.123;191.889;190.176;179.917;178.744;175.257;173.129;171.733;174.625;179.696;185.273;161.18;166.999;166.156;170.802;179.917;172.921;178.973
2609;2000;169.7127;172.6102;174.6787;195.0877;192.8448;191.1206;180.8306;179.673;176.1833;174.018;172.6102;175.516;180.6164;186.2173;161.9848;167.842;166.999;171.6723;180.8306;173.7997;179.8972
2709;2000;170.5684;173.4874;175.5574;196.0524;193.8006;192.0652;181.7442;180.602;177.1096;174.907;173.4874;176.407;181.5368;187.1616;162.7896;168.685;167.842;172.5426;181.7442;174.6784;180.8214
2809;2000;171.4241;174.3646;176.4361;197.0171;194.7564;193.0098;182.6578;181.531;178.0359;175.796;174.3646;177.298;182.4572;188.1059;163.5944;169.528;168.685;173.4129;182.6578;175.5571;181.7456
2909;2000;172.2798;175.2418;177.3148;197.9818;195.7122;193.9544;183.5714;182.46;178.9622;176.685;175.2418;178.189;183.3776;189.0502;164.3992;170.371;169.528;174.2832;183.5714;176.4358;182.6698
3009;2000;173.1355;176.119;178.1935;198.9465;196.668;194.899;184.485;183.389;179.8885;177.574;176.119;179.08;184.298;189.9945;165.204;171.214;170.371;175.1535;184.485;177.3145;183.594
110;2000;173.9912;176.9962;179.0722;199.9112;197.6238;195.8436;185.3986;184.318;180.8148;178.463;176.9962;179.971;185.2184;190.9388;166.0088;172.057;171.214;176.0238;185.3986;178.1932;184.5182
210;2000;174.8469;177.8734;179.9509;200.8759;198.5796;196.7882;186.3122;185.247;181.7411;179.352;177.8734;180.862;186.1388;191.8831;166.8136;172.9;172.057;176.8941;186.3122;179.0719;185.4424
310;2000;175.7026;178.7506;180.8296;201.8406;199.5354;197.7328;187.2258;186.176;182.6674;180.241;178.7506;181.753;187.0592;192.8274;167.6184;173.743;172.9;177.7644;187.2258;179.9506;186.3666
410;2000;176.5583;179.6278;181.7083;202.8053;200.4912;198.6774;188.1394;187.105;183.5937;181.13;179.6278;182.644;187.9796;193.7717;168.4232;174.586;173.743;178.6347;188.1394;180.8293;187.2908
510;2000;177.414;180.505;182.587;203.77;201.447;199.622;189.053;188.034;184.52;182.019;180.505;183.535;188.9;194.716;169.228;175.429;174.586;179.505;189.053;181.708;188.215
610;2000;178.2697;181.3822;183.4657;204.7347;202.4028;200.5666;189.9666;188.963;185.4463;182.908;181.3822;184.426;189.8204;195.6603;170.0328;176.272;175.429;180.3753;189.9666;182.5867;189.1392
710;2000;179.1254;182.2594;184.3444;205.6994;203.3586;201.5112;190.8802;189.892;186.3726;183.797;182.2594;185.317;190.7408;196.6046;170.8376;177.115;176.272;181.2456;190.8802;183.4654;190.0634
810;2000;179.9811;183.1366;185.2231;206.6641;204.3144;202.4558;191.7938;190.821;187.2989;184.686;183.1366;186.208;191.6612;197.5489;171.6424;177.958;177.115;182.1159;191.7938;184.3441;190.9876
910;2000;180.8368;184.0138;186.1018;207.6288;205.2702;203.4004;192.7074;191.75;188.2252;185.575;184.0138;187.099;192.5816;198.4932;172.4472;178.801;177.958;182.9862;192.7074;185.2228;191.9118
1010;2000;181.6925;184.891;186.9805;208.5935;206.226;204.345;193.621;192.679;189.1515;186.464;184.891;187.99;193.502;199.4375;173.252;179.644;178.801;183.8565;193.621;186.1015;192.836
1110;2000;182.5482;185.7682;187.8592;209.5582;207.1818;205.2896;194.5346;193.608;190.0778;187.353;185.7682;188.881;194.4224;200.3818;174.0568;180.487;179.644;184.7268;194.5346;186.9802;193.7602
1210;2000;183.4039;186.6454;188.7379;210.5229;208.1376;206.2342;195.4482;194.537;191.0041;188.242;186.6454;189.772;195.3428;201.3261;174.8616;181.33;180.487;185.5971;195.4482;187.8589;194.6844
1310;2000;184.2596;187.5226;189.6166;211.4876;209.0934;207.1788;196.3618;195.466;191.9304;189.131;187.5226;190.663;196.2632;202.2704;175.6664;182.173;181.33;186.4674;196.3618;188.7376;195.6086
1410;2000;185.1153;188.3998;190.4953;212.4523;210.0492;208.1234;197.2754;196.395;192.8567;190.02;188.3998;191.554;197.1836;203.2147;176.4712;183.016;182.173;187.3377;197.2754;189.6163;196.5328
1510;2000;185.971;189.277;191.374;213.417;211.005;209.068;198.189;197.324;193.783;190.909;189.277;192.445;198.104;204.159;177.276;183.859;183.016;188.208;198.189;190.495;197.457
1610;2000;186.8267;190.1542;192.2527;214.3817;211.9608;210.0126;199.1026;198.253;194.7093;191.798;190.1542;193.336;199.0244;205.1033;178.0808;184.702;183.859;189.0783;199.1026;191.3737;198.3812
1710;2000;187.6824;191.0314;193.1314;215.3464;212.9166;210.9572;200.0162;199.182;195.6356;192.687;191.0314;194.227;199.9448;206.0476;178.8856;185.545;184.702;189.9486;200.0162;192.2524;199.3054
1810;2000;188.5381;191.9086;194.0101;216.3111;213.8724;211.9018;200.9298;200.111;196.5619;193.576;191.9086;195.118;200.8652;206.9919;179.6904;186.388;185.545;190.8189;200.9298;193.1311;200.2296
1910;2000;189.3938;192.7858;194.8888;217.2758;214.8282;212.8464;201.8434;201.04;197.4882;194.465;192.7858;196.009;201.7856;207.9362;180.4952;187.231;186.388;191.6892;201.8434;194.0098;201.1538
2010;2000;190.2495;193.663;195.7675;218.2405;215.784;213.791;202.757;201.969;198.4145;195.354;193.663;196.9;202.706;208.8805;181.3;188.074;187.231;192.5595;202.757;194.8885;202.078
2110;2000;191.1052;194.5402;196.6462;219.2052;216.7398;214.7356;203.6706;202.898;199.3408;196.243;194.5402;197.791;203.6264;209.8248;182.1048;188.917;188.074;193.4298;203.6706;195.7672;203.0022
2210;2000;191.9609;195.4174;197.5249;220.1699;217.6956;215.6802;204.5842;203.827;200.2671;197.132;195.4174;198.682;204.5468;210.7691;182.9096;189.76;188.917;194.3001;204.5842;196.6459;203.9264
2310;2000;192.8166;196.2946;198.4036;221.1346;218.6514;216.6248;205.4978;204.756;201.1934;198.021;196.2946;199.573;205.4672;211.7134;183.7144;190.603;189.76;195.1704;205.4978;197.5246;204.8506
2410;2000;193.6723;197.1718;199.2823;222.0993;219.6072;217.5694;206.4114;205.685;202.1197;198.91;197.1718;200.464;206.3876;212.6577;184.5192;191.446;190.603;196.0407;206.4114;198.4033;205.7748
2510;2000;194.528;198.049;200.161;223.064;220.563;218.514;207.325;206.614;203.046;199.799;198.049;201.355;207.308;213.602;185.324;192.289;191.446;196.911;207.325;199.282;206.699
2610;2000;195.3837;198.9262;201.0397;224.0287;221.5188;219.4586;208.2386;207.543;203.9723;200.688;198.9262;202.246;208.2284;214.5463;186.1288;193.132;192.289;197.7813;208.2386;200.1607;207.6232
2710;2000;196.2394;199.8034;201.9184;224.9934;222.4746;220.4032;209.1522;208.472;204.8986;201.577;199.8034;203.137;209.1488;215.4906;186.9336;193.975;193.132;198.6516;209.1522;201.0394;208.5474
2810;2000;197.0951;200.6806;202.7971;225.9581;223.4304;221.3478;210.0658;209.401;205.8249;202.466;200.6806;204.028;210.0692;216.4349;187.7384;194.818;193.975;199.5219;210.0658;201.9181;209.4716
2910;2000;197.9508;201.5578;203.6758;226.9228;224.3862;222.2924;210.9794;210.33;206.7512;203.355;201.5578;204.919;210.9896;217.3792;188.5432;195.661;194.818;200.3922;210.9794;202.7968;210.3958
3010;2000;198.8065;202.435;204.5545;227.8875;225.342;223.237;211.893;211.259;207.6775;204.244;202.435;205.81;211.91;218.3235;189.348;196.504;195.661;201.2625;211.893;203.6755;211.32
3110;2000;199.6622;203.3122;205.4332;228.8522;226.2978;224.1816;212.8066;212.188;208.6038;205.133;203.3122;206.701;212.8304;219.2678;190.1528;197.347;196.504;202.1328;212.8066;204.5542;212.2442
111;2000;200.5179;204.1894;206.3119;229.8169;227.2536;225.1262;213.7202;213.117;209.5301;206.022;204.1894;207.592;213.7508;220.2121;190.9576;198.19;197.347;203.0031;213.7202;205.4329;213.1684
211;2000;201.3736;205.0666;207.1906;230.7816;228.2094;226.0708;214.6338;214.046;210.4564;206.911;205.0666;208.483;214.6712;221.1564;191.7624;199.033;198.19;203.8734;214.6338;206.3116;214.0926
311;2000;202.2293;205.9438;208.0693;231.7463;229.1652;227.0154;215.5474;214.975;211.3827;207.8;205.9438;209.374;215.5916;222.1007;192.5672;199.876;199.033;204.7437;215.5474;207.1903;215.0168
411;2000;203.085;206.821;208.948;232.711;230.121;227.96;216.461;215.904;212.309;208.689;206.821;210.265;216.512;223.045;193.372;200.719;199.876;205.614;216.461;208.069;215.941
511;2000;203.9407;207.6982;209.8267;233.6757;231.0768;228.9046;217.3746;216.833;213.2353;209.578;207.6982;211.156;217.4324;223.9893;194.1768;201.562;200.719;206.4843;217.3746;208.9477;216.8652
611;2000;204.7964;208.5754;210.7054;234.6404;232.0326;229.8492;218.2882;217.762;214.1616;210.467;208.5754;212.047;218.3528;224.9336;194.9816;202.405;201.562;207.3546;218.2882;209.8264;217.7894
711;2000;205.6521;209.4526;211.5841;235.6051;232.9884;230.7938;219.2018;218.691;215.0879;211.356;209.4526;212.938;219.2732;225.8779;195.7864;203.248;202.405;208.2249;219.2018;210.7051;218.7136
811;2000;206.5078;210.3298;212.4628;236.5698;233.9442;231.7384;220.1154;219.62;216.0142;212.245;210.3298;213.829;220.1936;226.8222;196.5912;204.091;203.248;209.0952;220.1154;211.5838;219.6378
911;2000;207.3635;211.207;213.3415;237.5345;234.9;232.683;221.029;220.549;216.9405;213.134;211.207;214.72;221.114;227.7665;197.396;204.934;204.091;209.9655;221.029;212.4625;220.562
1011;2000;208.2192;212.0842;214.2202;238.4992;235.8558;233.6276;221.9426;221.478;217.8668;214.023;212.0842;215.611;222.0344;228.7108;198.2008;205.777;204.934;210.8358;221.9426;213.3412;221.4862
1111;2000;209.0749;212.9614;215.0989;239.4639;236.8116;234.5722;222.8562;222.407;218.7931;214.912;212.9614;216.502;222.9548;229.6551;199.0056;206.62;205.777;211.7061;222.8562;214.2199;222.4104
1211;2000;209.9306;213.8386;215.9776;240.4286;237.7674;235.5168;223.7698;223.336;219.7194;215.801;213.8386;217.393;223.8752;230.5994;199.8104;207.463;206.62;212.5764;223.7698;215.0986;223.3346
1311;2000;210.7863;214.7158;216.8563;241.3933;238.7232;236.4614;224.6834;224.265;220.6457;216.69;214.7158;218.284;224.7956;231.5437;200.6152;208.306;207.463;213.4467;224.6834;215.9773;224.2588
1411;2000;211.642;215.593;217.735;242.358;239.679;237.406;225.597;225.194;221.572;217.579;215.593;219.175;225.716;232.488;201.42;209.149;208.306;214.317;225.597;216.856;225.183
1511;2000;212.4977;216.4702;218.6137;243.3227;240.6348;238.3506;226.5106;226.123;222.4983;218.468;216.4702;220.066;226.6364;233.4323;202.2248;209.992;209.149;215.1873;226.5106;217.7347;226.1072
1611;2000;213.3534;217.3474;219.4924;244.2874;241.5906;239.2952;227.4242;227.052;223.4246;219.357;217.3474;220.957;227.5568;234.3766;203.0296;210.835;209.992;216.0576;227.4242;218.6134;227.0314
1711;2000;214.2091;218.2246;220.3711;245.2521;242.5464;240.2398;228.3378;227.981;224.3509;220.246;218.2246;221.848;228.4772;235.3209;203.8344;211.678;210.835;216.9279;228.3378;219.4921;227.9556
1811;2000;215.0648;219.1018;221.2498;246.2168;243.5022;241.1844;229.2514;228.91;225.2772;221.135;219.1018;222.739;229.3976;236.2652;204.6392;212.521;211.678;217.7982;229.2514;220.3708;228.8798
1911;2000;215.9205;219.979;222.1285;247.1815;244.458;242.129;230.165;229.839;226.2035;222.024;219.979;223.63;230.318;237.2095;205.444;213.364;212.521;218.6685;230.165;221.2495;229.804
2011;2000;216.7762;220.8562;223.0072;248.1462;245.4138;243.0736;231.0786;230.768;227.1298;222.913;220.8562;224.521;231.2384;238.1538;206.2488;214.207;213.364;219.5388;231.0786;222.1282;230.7282
2111;2000;217.6319;221.7334;223.8859;249.1109;246.3696;244.0182;231.9922;231.697;228.0561;223.802;221.7334;225.412;232.1588;239.0981;207.0536;215.05;214.207;220.4091;231.9922;223.0069;231.6524
2211;2000;218.4876;222.6106;224.7646;250.0756;247.3254;244.9628;232.9058;232.626;228.9824;224.691;222.6106;226.303;233.0792;240.0424;207.8584;215.893;215.05;221.2794;232.9058;223.8856;232.5766
2311;2000;219.3433;223.4878;225.6433;251.0403;248.2812;245.9074;233.8194;233.555;229.9087;225.58;223.4878;227.194;233.9996;240.9867;208.6632;216.736;215.893;222.1497;233.8194;224.7643;233.5008
2411;2000;220.199;224.365;226.522;252.005;249.237;246.852;234.733;234.484;230.835;226.469;224.365;228.085;234.92;241.931;209.468;217.579;216.736;223.02;234.733;225.643;234.425
2511;2000;221.0547;225.2422;227.4007;252.9697;250.1928;247.7966;235.6466;235.413;231.7613;227.358;225.2422;228.976;235.8404;242.8753;210.2728;218.422;217.579;223.8903;235.6466;226.5217;235.3492
2611;2000;221.9104;226.1194;228.2794;253.9344;251.1486;248.7412;236.5602;236.342;232.6876;228.247;226.1194;229.867;236.7608;243.8196;211.0776;219.265;218.422;224.7606;236.5602;227.4004;236.2734
2711;2000;222.7661;226.9966;229.1581;254.8991;252.1044;249.6858;237.4738;237.271;233.6139;229.136;226.9966;230.758;237.6812;244.7639;211.8824;220.108;219.265;225.6309;237.4738;228.2791;237.1976
2811;2000;223.6218;227.8738;230.0368;255.8638;253.0602;250.6304;238.3874;238.2;234.5402;230.025;227.8738;231.649;238.6016;245.7082;212.6872;220.951;220.108;226.5012;238.3874;229.1578;238.1218
2911;2000;224.4775;228.751;230.9155;256.8285;254.016;251.575;239.301;239.129;235.4665;230.914;228.751;232.54;239.522;246.6525;213.492;221.794;220.951;227.3715;239.301;230.0365;239.046
3011;2000;225.3332;229.6282;231.7942;257.7932;254.9718;252.5196;240.2146;240.058;236.3928;231.803;229.6282;233.431;240.4424;247.5968;214.2968;222.637;221.794;228.2418;240.2146;230.9152;239.9702
112;2000;226.1889;230.5054;232.6729;258.7579;255.9276;253.4642;241.1282;240.987;237.3191;232.692;230.5054;234.322;241.3628;248.5411;215.1016;223.48;222.637;229.1121;241.1282;231.7939;240.8944
212;2000;227.0446;231.3826;233.5516;259.7226;256.8834;254.4088;242.0418;241.916;238.2454;233.581;231.3826;235.213;242.2832;249.4854;215.9064;224.323;223.48;229.9824;242.0418;232.6726;241.8186
312;2000;227.9003;232.2598;234.4303;260.6873;257.8392;255.3534;242.9554;242.845;239.1717;234.47;232.2598;236.104;243.2036;250.4297;216.7112;225.166;224.323;230.8527;242.9554;233.5513;242.7428
412;2000;228.756;233.137;235.309;261.652;258.795;256.298;243.869;243.774;240.098;235.359;233.137;236.995;244.124;251.374;217.516;226.009;225.166;231.723;243.869;234.43;243.667
512;2000;229.6117;234.0142;236.1877;262.6167;259.7508;257.2426;244.7826;244.703;241.0243;236.248;234.0142;237.886;245.0444;252.3183;218.3208;226.852;226.009;232.5933;244.7826;235.3087;244.5912
612;2000;230.4674;234.8914;237.0664;263.5814;260.7066;258.1872;245.6962;245.632;241.9506;237.137;234.8914;238.777;245.9648;253.2626;219.1256;227.695;226.852;233.4636;245.6962;236.1874;245.5154
712;2000;231.3231;235.7686;237.9451;264.5461;261.6624;259.1318;246.6098;246.561;242.8769;238.026;235.7686;239.668;246.8852;254.2069;219.9304;228.538;227.695;234.3339;246.6098;237.0661;246.4396
812;2000;232.1788;236.6458;238.8238;265.5108;262.6182;260.0764;247.5234;247.49;243.8032;238.915;236.6458;240.559;247.8056;255.1512;220.7352;229.381;228.538;235.2042;247.5234;237.9448;247.3638
912;2000;233.0345;237.523;239.7025;266.4755;263.574;261.021;248.437;248.419;244.7295;239.804;237.523;241.45;248.726;256.0955;221.54;230.224;229.381;236.0745;248.437;238.8235;248.288
1012;2000;233.8902;238.4002;240.5812;267.4402;264.5298;261.9656;249.3506;249.348;245.6558;240.693;238.4002;242.341;249.6464;257.0398;222.3448;231.067;230.224;236.9448;249.3506;239.7022;249.2122
1112;2000;234.7459;239.2774;241.4599;268.4049;265.4856;262.9102;250.2642;250.277;246.5821;241.582;239.2774;243.232;250.5668;257.9841;223.1496;231.91;231.067;237.8151;250.2642;240.5809;250.1364
1212;2000;235.6016;240.1546;242.3386;269.3696;266.4414;263.8548;251.1778;251.206;247.5084;242.471;240.1546;244.123;251.4872;258.9284;223.9544;232.753;231.91;238.6854;251.1778;241.4596;251.0606
1312;2000;236.4573;241.0318;243.2173;270.3343;267.3972;264.7994;252.0914;252.135;248.4347;243.36;241.0318;245.014;252.4076;259.8727;224.7592;233.596;232.753;239.5557;252.0914;242.3383;251.9848
1412;2000;237.313;241.909;244.096;271.299;268.353;265.744;253.005;253.064;249.361;244.249;241.909;245.905;253.328;260.817;225.564;234.439;233.596;240.426;253.005;243.217;252.909
1512;2000;238.1687;242.7862;244.9747;272.2637;269.3088;266.6886;253.9186;253.993;250.2873;245.138;242.7862;246.796;254.2484;261.7613;226.3688;235.282;234.439;241.2963;253.9186;244.0957;253.8332
1612;2000;239.0244;243.6634;245.8534;273.2284;270.2646;267.6332;254.8322;254.922;251.2136;246.027;243.6634;247.687;255.1688;262.7056;227.1736;236.125;235.282;242.1666;254.8322;244.9744;254.7574
1712;2000;239.8801;244.5406;246.7321;274.1931;271.2204;268.5778;255.7458;255.851;252.1399;246.916;244.5406;248.578;256.0892;263.6499;227.9784;236.968;236.125;243.0369;255.7458;245.8531;255.6816
1812;2000;240.7358;245.4178;247.6108;275.1578;272.1762;269.5224;256.6594;256.78;253.0662;247.805;245.4178;249.469;257.0096;264.5942;228.7832;237.811;236.968;243.9072;256.6594;246.7318;256.6058
1912;2000;241.5915;246.295;248.4895;276.1225;273.132;270.467;257.573;257.709;253.9925;248.694;246.295;250.36;257.93;265.5385;229.588;238.654;237.811;244.7775;257.573;247.6105;257.53
2012;2000;242.4472;247.1722;249.3682;277.0872;274.0878;271.4116;258.4866;258.638;254.9188;249.583;247.1722;251.251;258.8504;266.4828;230.3928;239.497;238.654;245.6478;258.4866;248.4892;258.4542
2112;2000;243.3029;248.0494;250.2469;278.0519;275.0436;272.3562;259.4002;259.567;255.8451;250.472;248.0494;252.142;259.7708;267.4271;231.1976;240.34;239.497;246.5181;259.4002;249.3679;259.3784
2212;2000;244.1586;248.9266;251.1256;279.0166;275.9994;273.3008;260.3138;260.496;256.7714;251.361;248.9266;253.033;260.6912;268.3714;232.0024;241.183;240.34;247.3884;260.3138;250.2466;260.3026
2312;2000;245.0143;249.8038;252.0043;279.9813;276.9552;274.2454;261.2274;261.425;257.6977;252.25;249.8038;253.924;261.6116;269.3157;232.8072;242.026;241.183;248.2587;261.2274;251.1253;261.2268
2412;2000;245.87;250.681;252.883;280.946;277.911;275.19;262.141;262.354;258.624;253.139;250.681;254.815;262.532;270.26;233.612;242.869;242.026;249.129;262.141;252.004;262.151
2512;2000;246.7257;251.5582;253.7617;281.9107;278.8668;276.1346;263.0546;263.283;259.5503;254.028;251.5582;255.706;263.4524;271.2043;234.4168;243.712;242.869;249.9993;263.0546;252.8827;263.0752
2612;2000;247.5814;252.4354;254.6404;282.8754;279.8226;277.0792;263.9682;264.212;260.4766;254.917;252.4354;256.597;264.3728;272.1486;235.2216;244.555;243.712;250.8696;263.9682;253.7614;263.9994
2712;2000;248.4371;253.3126;255.5191;283.8401;280.7784;278.0238;264.8818;265.141;261.4029;255.806;253.3126;257.488;265.2932;273.0929;236.0264;245.398;244.555;251.7399;264.8818;254.6401;264.9236
2812;2000;249.2928;254.1898;256.3978;284.8048;281.7342;278.9684;265.7954;266.07;262.3292;256.695;254.1898;258.379;266.2136;274.0372;236.8312;246.241;245.398;252.6102;265.7954;255.5188;265.8478
2912;2000;250.1485;255.067;257.2765;285.7695;282.69;279.913;266.709;266.999;263.2555;257.584;255.067;259.27;267.134;274.9815;237.636;247.084;246.241;253.4805;266.709;256.3975;266.772
3012;2000;;;;;;;;;;;;;;;;;;;;;
3112;2000;;;;;;;;;;;;;;;;;;;;;
